;;;;;;;;;;;;
;LISTE DES MARCHES CONCLUS EN 2010 - ARTICLE 133 DU CODE DES MARCHES PUBLICS;;;;;;;;;;;
;(en application de l'arrêté du 26/12/2007- Ministère de l'économie, des finances et de l'emploi);;;;;;;;;;;
;OBJET;DATE;TITULAIRE;CODE POSTAL;MONTANT € HT;;;;;;;
;Tranche 1 : 0 à 19 999,99 € HT;;;;;;;;;;;
;SERVICES;;;;;;;;;;;
;Audit DSP Marchés Forains;26/03/2010;COLLECTIVITES CONSEILS;75014;14 237.50;;;;;;;
;Mission géotechnique au parc de la Garenne;30/04/2010;SAINTE ROC SOL;92120;11 000.00;;;;;;;
;Collecte, transport et stockage du verre ménager;28/05/2010;SEPUR;78377;10 782.43;;;;;;;
;Assistance à maîtrise d'ouvrage - Etage du gymnase Mimoun;05/08/2010;EMODIS;78480;9 086.01;;;;;;;
;Spectacle pyrotechnique du 11 septembre 2010;19/08/2010;INTERMEDE;75016;19 230.77;;;;;;;
;maintenance portes automatiques de la mairie;25/10/2010;PORTALP IDF;95330;1 441.99;;;;;;;
;Etude faisabilité pour l'extension de la déchèterie communale;13/12/2010;ECHEGUT ET ROMBAULT;93697;7 711.20;;;;;;;
;Collecte, transport et traitement des déchets ménagers spéciaux 2010;04/01/2010;TRIADIS;91150;9 568.08;;;;;;;
;;;;;;;;;;;;
;FOURNITURES;;;;;;;;;;;
;Fourniture et pose de sols souples à la Médiathèque et au gymnase Delouvrier;27/07/2010;NOGENT LINO PEINTURE;77186;11 520.88;;;;;;;
;Fourniture et mise en fonction d'une installation électrique pour 8 pistes d'escrime;17/09/2010;ESCRIME DIFFUSION;69120;12 118.61;;;;;;;
;Fourniture et mise en fonction d'une autolaveuse accompagnée;17/09/2010;PRODIM;77127;4 613.02;;;;;;;
;Fourniture de mobilier et petit équipement;10/11/2010;MBS;95330;16 722.41;;;;;;;
;Fourniture de papier 2011 à 2013;14/12/2010;INAPA France;91814;16 722.41;;;;;;;
;Fourniture d'un pick up;31/12/2010;VILLEMOMBLE AUTOMOBILES;93250;26 600.00;;;;;;;
;;;;;;;;;;;;
;TRAVAUX;;;;;;;;;;;
;Démolition de la propriété 26 av Vauban/Lecourt;03/05/2010;GRD CHERPIN;93140;16 594.97;;;;;;;
;Rénovation de l'alimentation générale de la maternelle Galliéni et de l'étanchéité du chénau au gymnase hébert;15/06/2010;SEBE;93190;16 722.41;;;;;;;
;Remplacement des plaques polycarbonate toiture Delouvrier;15/06/2010;DOMECA;97200;14 820.00;;;;;;;
;Démolition avenue de la station;29/06/2010;BENNES MULTI SERVICES;93380;8 200.00;;;;;;;
;Travaux d'alimentation électrique des fours en cuisine dans divers bâtiments scolaires;21/10/2010;FORCLUM;95944;5 457.73;;;;;;;
;Travaux d'enfouissement du réseau à Corrençon en Vercors;10/11/2010;CARRET VETTIER;38600;6 034.05;;;;;;;
;Travaux de fabrication d'une banque d'accueil au commissariat de Raincy;12/11/2010;JD ANKRI;95330;3 842.99;;;;;;;
;;;;;;;;;;;;
;Tranche 1 : 20 000 € à 49 999,99 € HT;;;;;;;;;;;
;SERVICES;;;;;;;;;;;
;Entretien des espaces verts;14/05/2010;VERT LIMOUSIN;95250;48 076.63;;;;;;;
;Mise en culture des balconnières, vasques et suspension fleurie et création de Noël;22/05/2010;HORTY FUMEL;47500;22 575.25;;;;;;;
;Impression des publications municipales 2010;11/03/2010;IME;25 110;41 385.00;;;;;;;
;;;;;;;;;;;;
;FOURNITURES;;;;;;;;;;;
;Fourniture et mise en œuvre de menuiseries aluminium au centre de vacances de Villemomble;04/01/2010;JVL ALUMINIUM, VERRE ET STRUCTURE;26 120;23 805.00;;;;;;;
;Fourniture de papier 2010;02/09/2010;INAPA;91 813;20 000.00;;;;;;;
;;;;;;;;;;;;
;TRAVAUX;;;;;;;;;;;
;Rénovation du gymnase Chastanier et Delouvrier;29/06/2010;OSCARALET;91 160;40 238.59;;;;;;;
;Mise en conformité du transformateur électrique de la piscine;29/06/2010;FORCLUM;59 424;29 652.58;;;;;;;
;Assainissement;17/07/2010;OSCARALET;91 160;21 670.02;;;;;;;
;Reprise de concessions et exhumations administratives;23/08/2010;OGF;75 019;21 154.44;;;;;;;
;Plantation d'arbres 2010;26/10/2010;PPF;77414;44 396.01;;;;;;;
;Remplacement de la structure pare ballons du stade Rippert;23/11/2010;POSE;91150;22 415.73;;;;;;;
;;;;;;;;;;;;
;Tranche 2 : 50 000 € à 89 999,99 € HT;;;;;;;;;;;
;SERVICES;;;;;;;;;;;
;Restauration à Saint Brévin;15/02/2010;AVENANCE;92508;79 431.44;;;;;;;
;Organisation des séjours d'été 2010 - Lot 1;21/02/2010;ANGLOPHILES ACADEMIC;Londres;73 578.59;;;;;;;
;Exploitation de chauffage;30/06/2010;IDEX;95948;70 473.16;;;;;;;
;Illuminations de fin d'année;25/10/2010;FORCLUM;93213;55 000.00;;;;;;;
;Impression des publications municipales;31/12/2010;IME;25110;64 000;;;;;;;
;organisation des séjours d'été 2010 - Lot 2 et 4;09/02/2010;NACEL;75 013;"
Lot 2: 10869,56
Lot 4: 13377,13";;;;;;;
;organisation des séjours d'été 2010 - Lot 3;15/04/2010;AUTREMENT LOISIRS;59 320;38 879.60;;;;;;;
;;;;;;;;;;;;
;FOURNITURE;;;;;;;;;;;
;Fourniture et pose de menuiseries dans divers bâtiments communaux;29/06/2010;2LS;93 140;83 000.00;;;;;;;
;;;;;;;;;;;;
;TRAVAUX;;;;;;;;;;;
;Rénovation du revêtement du gel coat de la piscine municipale;14/04/2010;AMSON;92 230;56 916.50;;;;;;;
;;;;;;;;;;;;
;Travaux de rénovation de l'étage du gymnase Mimoun;;;;Total : 73 243,56;;;;;;;
;Travaux de rénovation de l'étage du gymnase Mimoun - Lot 1: menuiserie;09/08/2010;OSCARALET;91 160;16 250.85;;;;;;;
;Travaux de rénovation de l'étage du gymnase Mimoun - Lot 2 : électricité;31/08/2010;LEON GROSSE;91 310;16 472.08;;;;;;;
;Travaux de rénovation de l'étage du gymnase Mimoun - Lot 3  : plomberie;09/08/2010;SEBE;93 190;7 525.08;;;;;;;
;Travaux de rénovation de l'étage du gymnase Mimoun - Lot 4  : sols souples;31/08/2010;LEON GROSSE;91 310;18 189.71;;;;;;;
;Travaux de rénovation de l'étage du gymnase Mimoun - Lot 5  : platrerie faux plafond;09/08/2010;OSCARALET;91 160;14 805.84;;;;;;;
;;;;;;;;;;;;
;Rénovation de la toiture du gymnase Alain Mimoun;02/09/2010;COSAP;93 390;58 791.20;;;;;;;
;;;;;;;;;;;;
;Tranche 3 : 90 000 € à 124 999,99 € HT;;;;;;;;;;;
;SERVICES;;;;;;;;;;;
;;;;;;;;;;;;
;FOURNITURES;;;;;;;;;;;
;;;;;;;;;;;;
;TRAVAUX;;;;;;;;;;;
;;;;;;;;;;;;
;Création d'espaces verts de voirie;;;;TOTAL : 117 372,56;;;;;;;
;Lot 1: création de jardinières et travaux de voirie;22/10/2010;OSCARALET;91 160;89 948.57;;;;;;;
;Lot 2: travaux d'espaces verts;22/10/2010;FALLEAU;94 520;27 423.99;;;;;;;
;;;;;;;;;;;;
;Tranche 4 : 125 000 à 192 999,99 € HT;;;;;;;;;;;
;;;;;;;;;;;;
;SERVICES;;;;;;;;;;;
;Transport par autocars;;;;TOTAL : 176 585,29;;;;;;;
;Marché de transport par autocars - Lot 1: au départ de Villemomble;31/12/2010;AUTOCARS JAMES;92 230;75 250.84;;;;;;;
;Marché de transport par autocars - Lot 2: au départ de Corrençon en Vercors;31/12/2010;FAURE VERCORS;38360;66 889.63;;;;;;;
;Marché de transport par autocars - Lot 3: au départ de Saint Brévin L'Océan;31/12/2010;OCEANIC;85 230;33 444.82;;;;;;;
;;;;;;;;;;;;
;Maitrise d'œuvre pour la réalisation de salles d'activités;08/10/2010;CAURIS;93 200;125 400.00;;;;;;;
;TRAVAUX;;;;;;;;;;;
;;;;;;;;;;;;
;FOURNITURES;;;;;;;;;;;
;;;;;;;;;;;;
;TRAVAUX;;;;;;;;;;;
;Elagage et entretien des arbres sur la commune;15/02/2010;SPE;94500;160 000.00;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;Tranche 5 : 193 000 à 999 999,99 € HT;;;;;;;;;;;
;SERVICES;;;;;;;;;;;
;Collecte et transports des déchets ménagers 2011 à 2015;28/12/2010;SEPUR;78377;944 669.55;;;;;;;
;;;;;;;;;;;;
;TRAVAUX;;;;;;;;;;;
;Travaux de voirie 2010;14/06/2010;COLAS;93320;900 000.00;;;;;;;
;Peinture des bâtiments communaux;30/06/2010;LAMOS;93162;230 000.00;;;;;;;
;;;;;;;;;;;;
;Travaux d'extension du centre Marcel Hanra;;;;TOTAL: 669 562,66;;;;;;;
;Extension du centre Marcel Hanra - Lot 1: gros /ravalement/carrelage/platrerie/aménagement extérieur;13/07/2010;SOJEC;77410;400 000.00;;;;;;;
;Extension du centre Marcel Hanra - Lot 2:charpente/étanchéité/couverture;13/07/2010;COSAP;93 390;46 879.60;;;;;;;
;Extension du centre Marcel Hanra - Lot 4: revêtement de sols souples/peinture;15/07/2010;LES PEINTURES PARISIENNES;92 110;30 348.62;;;;;;;
;Extension du centre Marcel Hanra - Lot 7: ascenseur;15/07/2010;OTIS;92 686;27 000.00;;;;;;;
;Extension du centre Marcel Hanra - Lot 5: électricité;13/07/2010;SAINT MAUR ELEC;77 500;65 000.00;;;;;;;
;Extension du centre Marcel Hanra - Lot 6: chauffage/ventilation/plomberie;13/07/2010;SEBE;93190;100 334.44;;;;;;;
;;;;;;;;;;;;
;Tranche 7 : 3 000 000 à 4 844 999,99 € HT;;;;;;;;;;;
;;;;;;;;;;;;
;Tranche 8 : 4 845 000  et plus;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
